Adams,PH0102801,Ilocos Norte
Bacarra,PH0102802,Ilocos Norte
Badoc,PH0102803,Ilocos Norte
Bangui,PH0102804,Ilocos Norte
City of Batac,PH0102805,Ilocos Norte
Burgos,PH0102806,Ilocos Norte
Carasi,PH0102807,Ilocos Norte
Currimao,PH0102808,Ilocos Norte
Dingras,PH0102809,Ilocos Norte
Dumalneg,PH0102810,Ilocos Norte
Banna (Espiritu),PH0102811,Ilocos Norte
Laoag City (Capital),PH0102812,Ilocos Norte
Marcos,PH0102813,Ilocos Norte
Nueva Era,PH0102814,Ilocos Norte
Pagudpud,PH0102815,Ilocos Norte
Paoay,PH0102816,Ilocos Norte
Pasuquin,PH0102817,Ilocos Norte
Piddig,PH0102818,Ilocos Norte
Pinili,PH0102819,Ilocos Norte
San Nicolas,PH0102820,Ilocos Norte
Sarrat,PH0102821,Ilocos Norte
Solsona,PH0102822,Ilocos Norte
Vintar,PH0102823,Ilocos Norte
Alilem,PH0102901,Ilocos Sur
Banayoyo,PH0102902,Ilocos Sur
Bantay,PH0102903,Ilocos Sur
Burgos,PH0102904,Ilocos Sur
Cabugao,PH0102905,Ilocos Sur
City of Candon,PH0102906,Ilocos Sur
Caoayan,PH0102907,Ilocos Sur
Cervantes,PH0102908,Ilocos Sur
Galimuyod,PH0102909,Ilocos Sur
Gregorio del Pilar (Concepcion),PH0102910,Ilocos Sur
Lidlidda,PH0102911,Ilocos Sur
Magsingal,PH0102912,Ilocos Sur
Nagbukel,PH0102913,Ilocos Sur
Narvacan,PH0102914,Ilocos Sur
Quirino (Angkaki),PH0102915,Ilocos Sur
Salcedo (Baugen),PH0102916,Ilocos Sur
San Emilio,PH0102917,Ilocos Sur
San Esteban,PH0102918,Ilocos Sur
San Ildefonso,PH0102919,Ilocos Sur
San Juan (Lapog),PH0102920,Ilocos Sur
San Vicente,PH0102921,Ilocos Sur
Santa,PH0102922,Ilocos Sur
Santa Catalina,PH0102923,Ilocos Sur
Santa Cruz,PH0102924,Ilocos Sur
Santa Lucia,PH0102925,Ilocos Sur
Santa Maria,PH0102926,Ilocos Sur
Santiago,PH0102927,Ilocos Sur
Santo Domingo,PH0102928,Ilocos Sur
Sigay,PH0102929,Ilocos Sur
Sinait,PH0102930,Ilocos Sur
Sugpon,PH0102931,Ilocos Sur
Suyo,PH0102932,Ilocos Sur
Tagudin,PH0102933,Ilocos Sur
City of Vigan (Capital),PH0102934,Ilocos Sur
Agoo,PH0103301,La Union
Aringay,PH0103302,La Union
Bacnotan,PH0103303,La Union
Bagulin,PH0103304,La Union
Balaoan,PH0103305,La Union
Bangar,PH0103306,La Union
Bauang,PH0103307,La Union
Burgos,PH0103308,La Union
Caba,PH0103309,La Union
Luna,PH0103310,La Union
Naguilian,PH0103311,La Union
Pugo,PH0103312,La Union
Rosario,PH0103313,La Union
City of San Fernando (Capital),PH0103314,La Union
San Gabriel,PH0103315,La Union
San Juan,PH0103316,La Union
Santo Tomas,PH0103317,La Union
Santol,PH0103318,La Union
Sudipen,PH0103319,La Union
Tubao,PH0103320,La Union
Agno,PH0105501,Pangasinan
Aguilar,PH0105502,Pangasinan
City of Alaminos,PH0105503,Pangasinan
Alcala,PH0105504,Pangasinan
Anda,PH0105505,Pangasinan
Asingan,PH0105506,Pangasinan
Balungao,PH0105507,Pangasinan
Bani,PH0105508,Pangasinan
Basista,PH0105509,Pangasinan
Bautista,PH0105510,Pangasinan
Bayambang,PH0105511,Pangasinan
Binalonan,PH0105512,Pangasinan
Binmaley,PH0105513,Pangasinan
Bolinao,PH0105514,Pangasinan
Bugallon,PH0105515,Pangasinan
Burgos,PH0105516,Pangasinan
Calasiao,PH0105517,Pangasinan
Dagupan City,PH0105518,Pangasinan
Dasol,PH0105519,Pangasinan
Infanta,PH0105520,Pangasinan
Labrador,PH0105521,Pangasinan
Lingayen (Capital),PH0105522,Pangasinan
Mabini,PH0105523,Pangasinan
Malasiqui,PH0105524,Pangasinan
Manaoag,PH0105525,Pangasinan
Mangaldan,PH0105526,Pangasinan
Mangatarem,PH0105527,Pangasinan
Mapandan,PH0105528,Pangasinan
Natividad,PH0105529,Pangasinan
Pozorrubio,PH0105530,Pangasinan
Rosales,PH0105531,Pangasinan
San Carlos City,PH0105532,Pangasinan
San Fabian,PH0105533,Pangasinan
San Jacinto,PH0105534,Pangasinan
San Manuel,PH0105535,Pangasinan
San Nicolas,PH0105536,Pangasinan
San Quintin,PH0105537,Pangasinan
Santa Barbara,PH0105538,Pangasinan
Santa Maria,PH0105539,Pangasinan
Santo Tomas,PH0105540,Pangasinan
Sison,PH0105541,Pangasinan
Sual,PH0105542,Pangasinan
Tayug,PH0105543,Pangasinan
Umingan,PH0105544,Pangasinan
Urbiztondo,PH0105545,Pangasinan
City of Urdaneta,PH0105546,Pangasinan
Villasis,PH0105547,Pangasinan
Laoac,PH0105548,Pangasinan
Basco (Capital),PH0200901,Batanes
Itbayat,PH0200902,Batanes
Ivana,PH0200903,Batanes
Mahatao,PH0200904,Batanes
Sabtang,PH0200905,Batanes
Uyugan,PH0200906,Batanes
Abulug,PH0201501,Cagayan
Alcala,PH0201502,Cagayan
Allacapan,PH0201503,Cagayan
Amulung,PH0201504,Cagayan
Aparri,PH0201505,Cagayan
Baggao,PH0201506,Cagayan
Ballesteros,PH0201507,Cagayan
Buguey,PH0201508,Cagayan
Calayan,PH0201509,Cagayan
Camalaniugan,PH0201510,Cagayan
Claveria,PH0201511,Cagayan
Enrile,PH0201512,Cagayan
Gattaran,PH0201513,Cagayan
Gonzaga,PH0201514,Cagayan
Iguig,PH0201515,Cagayan
Lal-lo,PH0201516,Cagayan
Lasam,PH0201517,Cagayan
Pamplona,PH0201518,Cagayan
Peñablanca,PH0201519,Cagayan
Piat,PH0201520,Cagayan
Rizal,PH0201521,Cagayan
Sanchez-Mira,PH0201522,Cagayan
Santa Ana,PH0201523,Cagayan
Santa Praxedes,PH0201524,Cagayan
Santa Teresita,PH0201525,Cagayan
Santo Niño (Faire),PH0201526,Cagayan
Solana,PH0201527,Cagayan
Tuao,PH0201528,Cagayan
Tuguegarao City (Capital),PH0201529,Cagayan
Alicia,PH0203101,Isabela
Angadanan,PH0203102,Isabela
Aurora,PH0203103,Isabela
Benito Soliven,PH0203104,Isabela
Burgos,PH0203105,Isabela
Cabagan,PH0203106,Isabela
Cabatuan,PH0203107,Isabela
City of Cauayan,PH0203108,Isabela
Cordon,PH0203109,Isabela
Dinapigue,PH0203110,Isabela
Divilacan,PH0203111,Isabela
Echague,PH0203112,Isabela
Gamu,PH0203113,Isabela
Ilagan City (Capital),PH0203114,Isabela
Jones,PH0203115,Isabela
Luna,PH0203116,Isabela
Maconacon,PH0203117,Isabela
Delfin Albano (Magsaysay),PH0203118,Isabela
Mallig,PH0203119,Isabela
Naguilian,PH0203120,Isabela
Palanan,PH0203121,Isabela
Quezon,PH0203122,Isabela
Quirino,PH0203123,Isabela
Ramon,PH0203124,Isabela
Reina Mercedes,PH0203125,Isabela
Roxas,PH0203126,Isabela
San Agustin,PH0203127,Isabela
San Guillermo,PH0203128,Isabela
San Isidro,PH0203129,Isabela
San Manuel,PH0203130,Isabela
San Mariano,PH0203131,Isabela
San Mateo,PH0203132,Isabela
San Pablo,PH0203133,Isabela
